ID,Word,Japanese Meaning,Before Example,Before Example JP,After UX Example,After UX Example JP,Status,Notes
1,being,存在；生き物,"As a human being, one has the right to access clean water and basic education.",人間として、誰もが清潔な水と基礎教育にアクセスする権利を持っている。,"A UX designer should consider the user as a human being, not just a data point.",UXデザイナーは、ユーザーを単なるデータ点ではなく一人の人間として考えるべきだ。,初稿レビュー待ち,UX職務文脈にリライト
2,government,政府；統治,The government introduced new policies to curb rising carbon emissions.,政府はインフレ抑制のため、一連の新しい政策を導入した。,The UX designer simplified the government service form so residents could complete it on mobile.,UXデザイナーは、住民がスマートフォンで完了できるように政府サービスのフォームを簡素化した。,初稿レビュー待ち,UX職務文脈にリライト
3,found,を設立する,The organisation was founded in 1990 to promote global sustainable development.,その団体は1990年に、持続可能な開発を促進するために設立された。,The UX team found that users abandoned the flow when the progress indicator disappeared.,UXチームは、進捗表示が消えるとユーザーがフローを離脱することを発見した。,初稿レビュー待ち,UX職務文脈にリライト
4,given,〜を仮定すれば,"Given the evidence available, it is difficult to draw a definitive conclusion.",入手可能な証拠を踏まえると、確定的な結論を導くことは難しい。,"Given the research findings, the UX designer changed the onboarding sequence.",調査結果を踏まえて、UXデザイナーはオンボーディングの順序を変更した。,初稿レビュー待ち,UX職務文脈にリライト
5,state,状態；国家；述べる,The report states that average global temperatures have risen by 1.1 degrees Celsius.,報告書は、世界の平均気温が1.1度上昇したと述べている。,The empty state explains what users can do before they add their first project.,空の状態の画面は、ユーザーが最初のプロジェクトを追加する前に何ができるかを説明している。,初稿レビュー待ち,UX職務文脈にリライト
6,council,議会；評議会,The city council approved new regulations to reduce plastic waste in public spaces.,市議会は公共スペースにおけるプラスチック廃棄物削減の新規制を承認した。,The UX designer presented the accessibility findings to the city council.,UXデザイナーはアクセシビリティ調査の結果を市議会に提示した。,初稿レビュー待ち,UX職務文脈にリライト
7,available,利用可能な,Affordable housing is not readily available in many of the world's major cities.,世界の主要都市の多くでは、手頃な価格の住宅が容易には手に入らない。,The UX designer made the primary action available only after all required fields were complete.,UXデザイナーは、必須項目がすべて入力された後にだけ主要アクションを利用可能にした。,初稿レビュー待ち,UX職務文脈にリライト
9,means,手段，方法,Education means far more than acquiring facts; it fosters critical thinking skills.,教育とは事実を習得すること以上であり、批判的思考力を育むものだ。,A clear status message gives users a means of understanding what happened.,明確なステータスメッセージは、何が起きたかをユーザーが理解するための手段になる。,初稿レビュー待ち,UX職務文脈にリライト
10,likely,ありそうな；予想される,Developing nations are more likely to be severely affected by climate change.,気候変動の深刻な影響を受ける可能性が高いのは、発展途上国である。,Users are more likely to finish onboarding when each step has one clear goal.,各ステップに明確な目的が一つあると、ユーザーはオンボーディングを完了しやすい。,初稿レビュー待ち,UX職務文脈にリライト
11,therefore,それ故に，従って,"The sample size was too small; therefore, the results cannot be generalised.",サンプルサイズが小さすぎたため、結果を一般化することはできない。,"The error rate increased; therefore, the UX designer revised the form labels.",エラー率が上がったため、UXデザイナーはフォームのラベルを見直した。,初稿レビュー待ち,UX職務文脈にリライト
12,evidence,証拠；根拠,There is compelling evidence that air pollution significantly contributes to lung disease.,大気汚染が肺疾患に大きく寄与するという説得力のある証拠がある。,The UX designer used interview evidence to justify the navigation change.,UXデザイナーは、ナビゲーション変更の根拠としてインタビューで得た証拠を使った。,初稿レビュー待ち,UX職務文脈にリライト
13,range,範囲；幅,A wide range of factors influences academic performance among university students.,大学生の学業成績には、幅広い要因が影響を与えている。,The design system defines a range of spacing tokens for consistent layouts.,デザインシステムは、一貫したレイアウトのために幅広い余白トークンを定義している。,初稿レビュー待ち,UX職務文脈にリライト
14,thus,このようにして；したがって,"Industrial output increased sharply; thus, demand for raw materials rose accordingly.",工業生産が急増したため、原材料の需要も相応に増加した。,The UX designer documented the thus in the mobile form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、モバイルフォームに関するこのようにして、したがってを記録した。,初稿レビュー待ち,UX職務文脈にリライト
15,individual,個人；個別の,Each individual has a responsibility to reduce their personal carbon footprint.,個人一人ひとりが、自らの環境への影響を軽減する責任を持っている。,Each individual user journey was mapped before the team merged the patterns.,チームがパターンを統合する前に、個々のユーザージャーニーがマッピングされた。,初稿レビュー待ち,UX職務文脈にリライト
16,committee,委員会,The committee reviewed all proposals and recommended further environmental reforms.,委員会はすべての提案を審査し、さらなる環境改革を勧告した。,The UX designer documented the committee in the onboarding flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、オンボーディングフローに関する委員会を記録した。,初稿レビュー待ち,UX職務文脈にリライト
17,indeed,実際に；確かに,The findings were indeed consistent with those of previous research on the subject.,その調査結果は、これまでの研究と確かに一致していた。,The UX designer documented the indeed in the checkout form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、チェックアウトフォームに関する実際に、確かにを記録した。,初稿レビュー待ち,UX職務文脈にリライト
18,authority,権威；当局,The regulatory authority imposed stricter limits on industrial waste disposal.,規制当局は産業廃棄物処理に関してより厳しい基準を課した。,The UX designer documented the authority in the settings page so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、設定画面に関する権威、当局を記録した。,初稿レビュー待ち,UX職務文脈にリライト
19,union,組合；連合,The European Union has set ambitious targets for achieving carbon neutrality by 2050.,欧州連合は2050年までにカーボンニュートラルを達成するという野心的な目標を設定した。,The UX designer documented the union in the account setup flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アカウント設定フローに関する組合、連合を記録した。,初稿レビュー待ち,UX職務文脈にリライト
20,figure,数字；人物；考える,Official figures show that the unemployment rate has declined to a five-year low.,公式データによると、失業率は5年ぶりの低水準まで低下した。,"The UX designer used the term ""figure"" when describing how to improve the research summary.",UXデザイナーは、リサーチ要約を改善する方法を説明する際に「figure」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
21,practice,練習；実践；習慣,Sustainable agricultural practice is essential for maintaining long-term soil quality.,持続可能な農業の実践は、長期的な土壌の質を維持するために不可欠だ。,The UX designer documented the practice in the design review so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインレビューに関する練習、実践、習慣を記録した。,初稿レビュー待ち,UX職務文脈にリライト
22,former,前の；以前の,The former policy was replaced after widespread criticism from environmental groups.,前の政策は環境団体から広く批判を受けた後、改正された。,The UX designer documented the former in the prototype test so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、プロトタイプテストに関する前の、以前のを記録した。,初稿レビュー待ち,UX職務文脈にリライト
23,issue,問題；号,Inequality remains one of the most pressing issues in both developed and developing nations.,格差は先進国・途上国を問わず、最も差し迫った課題の一つであり続けている。,The UX designer logged the issue when the checkout button was hard to find.,チェックアウトボタンが見つけにくかったため、UXデザイナーはその問題を記録した。,初稿レビュー待ち,UX職務文脈にリライト
24,stage,段階；舞台,"At this stage of the investigation, no conclusive link has been established.",調査の現段階では、明確な関連性はまだ確立されていない。,The UX designer documented the stage in the accessibility audit so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アクセシビリティ監査に関する段階、舞台を記録した。,初稿レビュー待ち,UX職務文脈にリライト
26,basis,基礎；根拠；基盤,The policy is reviewed on an annual basis to reflect changing economic conditions.,その政策は変化する経済状況を反映するため、毎年見直されている。,The UX designer documented the basis in the dashboard layout so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ダッシュボードレイアウトに関する基礎、根拠、基盤を記録した。,初稿レビュー待ち,UX職務文脈にリライト
27,despite,〜にもかかわらず,"Despite significant investment, global deforestation rates have continued to rise.",多大な投資にもかかわらず、世界の森林破壊率は上昇し続けている。,The UX designer documented the despite in the support article so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、サポート記事に関するにもかかわらずを記録した。,初稿レビュー待ち,UX職務文脈にリライト
28,structure,構造；構成,The economic structure of many developing nations relies heavily on primary industries.,多くの途上国の経済構造は、一次産業への依存度が高い。,The UX designer changed the page structure to make the task flow easier to scan.,UXデザイナーは、タスクの流れを見つけやすくするためにページ構造を変更した。,初稿レビュー待ち,UX職務文脈にリライト
29,capital,首都；資本；大文字の,The capital city receives a disproportionate share of public infrastructure spending.,首都は公共インフラへの支出の不均等に大きな割合を受け取っている。,The UX designer documented the capital in the confirmation screen so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、確認画面に関する首都、資本、大文字のを記録した。,初稿レビュー待ち,UX職務文脈にリライト
30,per,〜につき；〜ごとに,"The average household consumes approximately 3,800 kilowatts of electricity per year.","平均的な世帯は年間約3,800キロワット時の電力を消費している。","The UX designer used the term ""per"" when describing how to improve the mobile form.",UXデザイナーは、モバイルフォームを改善する方法を説明する際に「per」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
