ID,単語 Word,発音記号,品詞,難易度 CEFR,カテゴリ,日本語訳,例文 Example,例文訳,語源・語根,接頭辞,類義語 Synonyms,反義語 Antonyms,IELTS頻度,英検頻度,大学入試頻度,総合優先度
1,being,,名/他,,IELTS VOCAB,存在；生き物,"A UX designer should consider the user as a human being, not just a data point.",UXデザイナーは、ユーザーを単なるデータ点ではなく一人の人間として考えるべきだ。,,,,,★★★,,,🔴 必須
2,government,,名/他,,IELTS VOCAB,政府；統治,The UX designer simplified the government service form so residents could complete it on mobile.,UXデザイナーは、住民がスマートフォンで完了できるように政府サービスのフォームを簡素化した。,,,,,★★★,,,🔴 必須
3,found,,動/句,,IELTS VOCAB,を設立する,The UX team found that users abandoned the flow when the progress indicator disappeared.,UXチームは、進捗表示が消えるとユーザーがフローを離脱することを発見した。,,,,,★★★,,,🔴 必須
4,given,,動/句,,IELTS VOCAB,〜を仮定すれば,"Given the research findings, the UX designer changed the onboarding sequence.",調査結果を踏まえて、UXデザイナーはオンボーディングの順序を変更した。,,,,,★★★,,,🔴 必須
5,state,,名/他,,IELTS VOCAB,状態；国家；述べる,The empty state explains what users can do before they add their first project.,空の状態の画面は、ユーザーが最初のプロジェクトを追加する前に何ができるかを説明している。,,,,,★★★,,,🔴 必須
6,council,,名/他,,IELTS VOCAB,議会；評議会,The UX designer presented the accessibility findings to the city council.,UXデザイナーはアクセシビリティ調査の結果を市議会に提示した。,,,,,★★★,,,🔴 必須
7,available,,形,,IELTS VOCAB,利用可能な,The UX designer made the primary action available only after all required fields were complete.,UXデザイナーは、必須項目がすべて入力された後にだけ主要アクションを利用可能にした。,,,,,★★★,,,🔴 必須
9,means,,名/他,,IELTS VOCAB,手段，方法,A clear status message gives users a means of understanding what happened.,明確なステータスメッセージは、何が起きたかをユーザーが理解するための手段になる。,,,,,★★★,,,🔴 必須
10,likely,,形,,IELTS VOCAB,ありそうな；予想される,Users are more likely to finish onboarding when each step has one clear goal.,各ステップに明確な目的が一つあると、ユーザーはオンボーディングを完了しやすい。,,,,,★★★,,,🔴 必須
11,therefore,,名/他,,IELTS VOCAB,それ故に，従って,"The error rate increased; therefore, the UX designer revised the form labels.",エラー率が上がったため、UXデザイナーはフォームのラベルを見直した。,,,,,★★★,,,🔴 必須
12,evidence,,名/他,,IELTS VOCAB,証拠；根拠,The UX designer used interview evidence to justify the navigation change.,UXデザイナーは、ナビゲーション変更の根拠としてインタビューで得た証拠を使った。,,,,,★★★,,,🔴 必須
13,range,,名/他,,IELTS VOCAB,範囲；幅,The design system defines a range of spacing tokens for consistent layouts.,デザインシステムは、一貫したレイアウトのために幅広い余白トークンを定義している。,,,,,★★★,,,🔴 必須
14,thus,,名/他,,IELTS VOCAB,このようにして；したがって,The UX designer documented the thus in the mobile form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、モバイルフォームに関するこのようにして、したがってを記録した。,,,,,★★★,,,🔴 必須
15,individual,,名/他,,IELTS VOCAB,個人；個別の,Each individual user journey was mapped before the team merged the patterns.,チームがパターンを統合する前に、個々のユーザージャーニーがマッピングされた。,,,,,★★★,,,🔴 必須
16,committee,,名/他,,IELTS VOCAB,委員会,The UX designer documented the committee in the onboarding flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、オンボーディングフローに関する委員会を記録した。,,,,,★★★,,,🔴 必須
17,indeed,,名/他,,IELTS VOCAB,実際に；確かに,The UX designer documented the indeed in the checkout form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、チェックアウトフォームに関する実際に、確かにを記録した。,,,,,★★★,,,🔴 必須
18,authority,,名/他,,IELTS VOCAB,権威；当局,The UX designer documented the authority in the settings page so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、設定画面に関する権威、当局を記録した。,,,,,★★★,,,🔴 必須
19,union,,名/他,,IELTS VOCAB,組合；連合,The UX designer documented the union in the account setup flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アカウント設定フローに関する組合、連合を記録した。,,,,,★★★,,,🔴 必須
20,figure,,名/他,,IELTS VOCAB,数字；人物；考える,"The UX designer used the term ""figure"" when describing how to improve the research summary.",UXデザイナーは、リサーチ要約を改善する方法を説明する際に「figure」という語を使った。,,,,,★★★,,,🔴 必須
21,practice,,名/他,,IELTS VOCAB,練習；実践；習慣,The UX designer documented the practice in the design review so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインレビューに関する練習、実践、習慣を記録した。,,,,,★★★,,,🔴 必須
22,former,,名/他,,IELTS VOCAB,前の；以前の,The UX designer documented the former in the prototype test so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、プロトタイプテストに関する前の、以前のを記録した。,,,,,★★★,,,🔴 必須
23,issue,,名/他,,IELTS VOCAB,問題；号,The UX designer logged the issue when the checkout button was hard to find.,チェックアウトボタンが見つけにくかったため、UXデザイナーはその問題を記録した。,,,,,★★★,,,🔴 必須
24,stage,,名/他,,IELTS VOCAB,段階；舞台,The UX designer documented the stage in the accessibility audit so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アクセシビリティ監査に関する段階、舞台を記録した。,,,,,★★★,,,🔴 必須
26,basis,,名/他,,IELTS VOCAB,基礎；根拠；基盤,The UX designer documented the basis in the dashboard layout so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ダッシュボードレイアウトに関する基礎、根拠、基盤を記録した。,,,,,★★★,,,🔴 必須
27,despite,,動/句,,IELTS VOCAB,〜にもかかわらず,The UX designer documented the despite in the support article so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、サポート記事に関するにもかかわらずを記録した。,,,,,★★★,,,🔴 必須
28,structure,,名/他,,IELTS VOCAB,構造；構成,The UX designer changed the page structure to make the task flow easier to scan.,UXデザイナーは、タスクの流れを見つけやすくするためにページ構造を変更した。,,,,,★★★,,,🔴 必須
29,capital,,名/他,,IELTS VOCAB,首都；資本；大文字の,The UX designer documented the capital in the confirmation screen so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、確認画面に関する首都、資本、大文字のを記録した。,,,,,★★★,,,🔴 必須
30,per,,動/句,,IELTS VOCAB,〜につき；〜ごとに,"The UX designer used the term ""per"" when describing how to improve the mobile form.",UXデザイナーは、モバイルフォームを改善する方法を説明する際に「per」という語を使った。,,,,,★★★,,,🔴 必須
31,agreement,,名/他,,IELTS VOCAB,合意；契約,The UX designer documented the agreement in the design system so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインシステムに関する合意、契約を記録した。,,,,,★★★,,,🔴 必須
32,population,,名/他,,IELTS VOCAB,人口,The UX designer documented the population in the onboarding flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、オンボーディングフローに関する人口を記録した。,,,,,★★★,,,🔴 必須
33,legal,,形,,IELTS VOCAB,法律の；合法的な,The UX designer wrote a legal note about the checkout form in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、チェックアウトフォームについて「法律の、合法的な」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
34,fine,,名/他,,IELTS VOCAB,罰金；素晴らしい；細かい,The UX designer wrote a fine note about the settings page in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、設定画面について「罰金、素晴らしい、細かい」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
35,theory,,名/他,,IELTS VOCAB,理論；学説,The UX designer documented the theory in the account setup flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アカウント設定フローに関する理論、学説を記録した。,,,,,★★★,,,🔴 必須
36,growth,,名/他,,IELTS VOCAB,成長；増加,The UX designer documented the growth in the research summary so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、リサーチ要約に関する成長、増加を記録した。,,,,,★★★,,,🔴 必須
37,relationship,,形,,IELTS VOCAB,関係；つながり,"The UX designer used the term ""relationship"" when describing how to improve the design review.",UXデザイナーは、デザインレビューを改善する方法を説明する際に「relationship」という語を使った。,,,,,★★★,,,🔴 必須
38,property,,名/他,,IELTS VOCAB,財産；特性,The UX designer documented the property in the prototype test so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、プロトタイプテストに関する財産、特性を記録した。,,,,,★★★,,,🔴 必須
39,term,,名/他,,IELTS VOCAB,期間；用語,The UX designer documented the term in the content guideline so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、コンテンツガイドラインに関する期間、用語を記録した。,,,,,★★★,,,🔴 必須
40,throughout,,動/句,,IELTS VOCAB,〜の至る所に；〜を通じて,"The UX designer used the term ""throughout"" when describing how to improve the accessibility audit.",UXデザイナーは、アクセシビリティ監査を改善する方法を説明する際に「throughout」という語を使った。,,,,,★★★,,,🔴 必須
41,previous,,名/他,,IELTS VOCAB,前の；以前の,The UX designer documented the previous in the navigation model so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ナビゲーションモデルに関する前の、以前のを記録した。,,,,,★★★,,,🔴 必須
43,significant,,形,,IELTS VOCAB,重要な；著しい；意義深い,The UX designer wrote a significant note about the support article in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、サポート記事について「重要な、著しい、意義深い」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
44,income,,名/他,,IELTS VOCAB,収入；所得,The UX designer documented the income in the error message so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、エラーメッセージに関する収入、所得を記録した。,,,,,★★★,,,🔴 必須
45,contract,,動/句,,IELTS VOCAB,契約；縮小する,"The UX designer used the term ""contract"" when describing how to improve the confirmation screen.",UXデザイナーは、確認画面を改善する方法を説明する際に「contract」という語を使った。,,,,,★★★,,,🔴 必須
46,consider,,動/句,,IELTS VOCAB,考慮する；みなす,"The UX designer used the term ""consider"" when describing how to improve the mobile form.",UXデザイナーは、モバイルフォームを改善する方法を説明する際に「consider」という語を使った。,,,,,★★★,,,🔴 必須
